t_h,ws_HH_m/s,wd_HH_deg
0.0,6.374859336316589,340.909111
0.5,6.369563029846731,332.2444483
1.0,6.577081805860335,327.540863
1.5,7.023411322075908,321.5918732
2.0,7.194064681010323,317.7943192
2.5,7.629445971727877,311.6316452
3.0,7.745785695683007,301.0969874
3.5,7.927848701636507,295.2885157
4.0,8.06381929409855,291.16025030000003
4.5,7.407746806421315,282.63202920000003
5.0,8.612412547544997,281.2059428
5.5,9.131701876398292,284.86779279999996
6.0,9.184218644722643,284.2724177
6.5,8.969079274139716,288.0729548
7.0,9.13766143475886,299.43795520000003
7.5,6.932455730846148,309.05155179999997
8.0,6.3858012103575374,297.6714452
8.5,5.60957086567554,307.6424561
9.0,8.003183434532549,305.6073151
9.5,9.462711002563267,308.6033758
10.0,10.515817898352479,309.7473017
10.5,11.129613675465185,313.6091995
11.0,11.313430439038141,311.00730899999996
11.5,11.860315239295554,309.4722392
12.0,12.893961744025097,313.7503001
12.5,13.529267870609102,318.67000329999996
13.0,13.26484413022453,316.56212619999997
13.5,13.79347966957778,311.0437673
14.0,12.667553653814938,307.2433828
14.5,13.370149333683095,303.8101222
15.0,12.841314238255237,302.1413116
15.5,14.023445281902505,302.7810364
16.0,13.107808468826791,292.53468580000003
16.5,13.504145607275197,297.30091089999996
17.0,14.379710073697366,295.1389542
17.5,15.349457908299357,293.8573786
18.0,16.20940229947118,292.0278905
18.5,16.542031702059543,293.2082138
19.0,17.45452139182747,293.0949504
19.5,18.48326615561881,294.0746765
20.0,18.655638627144118,294.4700775
20.5,18.417215793306397,290.3683497
21.0,18.044140799309062,287.77534479999997
21.5,19.149943955204893,287.2453435
22.0,20.433403669444797,283.0456924
22.5,22.499764876756775,283.2132746
23.0,24.678369684322337,286.52183279999997
23.5,25.29265627915633,303.1730143
24.0,23.79261548261636,321.9506048
24.5,24.690774770354363,335.2626826
25.0,26.352162143675177,345.4329707
25.5,25.359025810076485,348.8112081
26.0,23.312244586632286,349.8823903
26.5,24.32652192261119,345.3735275
27.0,21.364058116150332,344.49251300000003
27.5,21.95374900908399,346.2616882
28.0,26.818058719924142,347.9219055
28.5,24.379955271283208,351.9994049
